Forest_index,Forest_Name,State,Town,Plants_type,Longitude,Latitude
F_76,غابات وادة فحاذة,مكة المكرمة,رنية, ,42.02214763,20.58224738
F_77,غابات وادة فحاذة,مكة المكرمة,رنية, ,42.01597837,20.58210735
F_78,غابات وادة فحاذة,مكة المكرمة,رنية, ,42.02651333,20.58467058
F_79,غابات شعيب حنضلاء,الباحة,العقيق, ,41.99852905,20.52813289
F_80,غابات وادى فحاذة,الباحة,العقيق, ,42.00187107,20.57958368
F_81,غابات وادى فحاذة,الباحة,العقيق, ,41.99653597,20.57590611
F_82,غابات وادى فحاذة,الباحة,العقيق, ,41.99060231,20.5732365
F_83,غابات وادى فحاذة,الباحة,العقيق, ,41.9860258,20.57009251
F_84,غابات وادى فحاذة,الباحة,العقيق, ,41.97266542,20.56772049
F_85,مواقع غابات كثيفة,الباحة,العقيق, ,41.90519735,20.63120647
F_86,غابات وادى ثراد,الباحة,الباحة, ,41.53254144,19.96573003
F_87,غابات وادى ضهياء,عسير,رجال المع, ,42.08038526,18.05715633
F_88,غابات وادى ضهياء,عسير,رجال المع, ,42.08831108,18.05614264
F_89,غابات وادى ضهياء,عسير,رجال المع, ,42.09140796,18.05691602
F_90,غابات وادى ضهياء,عسير,رجال المع, ,42.09625699,18.05653404
F_91,غابات وادى ضهياء,عسير,رجال المع, ,42.10183559,18.05621489
F_92,غابات وادى ضهياء,عسير,رجال المع, ,42.10571649,18.06313758
F_93,غابات وادى ريم,جازان,القياس, ,42.10607403,17.76611017
F_94,غابات وادى عرمرم,جازان,القياس, ,42.04656261,17.84879711
F_95,غابات وادى عرمرم,جازان,القياس, ,42.05467462,17.85807796
F_96,غابات وادى عرمرم,جازان,القياس, ,42.04958176,17.87078288
F_97,غابات وادى عرمرم,جازان,القياس, ,42.05866721,17.88464907
F_98,غابات وادى عرمرم,جازان,القياس, ,42.06012972,17.88075968
F_99,غابات وادى عرمرم,جازان,القياس, ,42.06863358,17.89659826
F_100,غابات وادى عرمرم,جازان,القياس, ,42.06951619,17.90183597
F_101,غابات وادى عرمرم,جازان,القياس, ,42.07196024,17.91117419
F_102,غابات وادى عرمرم,جازان,القياس, ,42.07468008,17.90725518
F_103,غابات وادى عرمرم,جازان,القياس, ,42.06962491,17.91263367
F_104,غابات وادى عرمرم,جازان,القياس, ,42.07213495,17.92091542
F_105,غابات وادى عرمرم,جازان,القياس, ,42.07315554,17.92872775
F_106,غابات وادى عرمرم,جازان,القياس, ,42.01558739,17.8000265
F_107,غابات وادى عرمرم,جازان,القياس, ,42.0075826,17.78444704
F_108,غابات وادى عرمرم,جازان,القياس, ,42.08752538,17.99246569
F_109,غابات وادى عرمرم,جازان,القياس, ,42.18236026,17.95018192
F_110,غابات وادى عرمرم,جازان,القياس, ,42.177347,17.94012661
F_111,غابات وادى عرمرم,جازان,القياس, ,42.18125294,17.90222336
F_112,غابات وادى عرمرم,جازان,القياس, ,42.17897562,17.90356371
F_113,غابات وادى فحاذة,الباحة,العقيق, ,41.93813985,20.54096114
F_114,غابات وادى وراخ,الباحة,العقيق, ,41.53107835,20.6673876
F_115,غابات وادى شواص,عسير,بالقرن, ,41.9188384,20.05670084
F_116,غابات وادى شواص,عسير,بالقرن, ,41.92600502,20.06559194
F_117,غابات وادى جرشة,الباحة,بلجرشى, ,41.78543491,20.1253618
F_118,غابات وادى جرشة,الباحة,بلجرشى, ,41.77201007,20.10477336
F_119,غابات وادى جرشة,الباحة,بلجرشى, ,41.76502692,20.09280434
F_120,غابات وادى جرشة,الباحة,بلجرشى, ,41.76668657,20.08154973
F_121,غابات وادى جرشة,الباحة,بلجرشى, ,41.83495651,20.14518215
F_122,غابات وادى جرشة,الباحة,بلجرشى, ,41.82947486,20.14287498
F_123,مواقع غابات كثيفة,عسير, , ,41.87744958,20.06074596
F_124,غابات وادى رنية,الباحة,بلجرشى, ,41.86634225,20.08916073
F_125,مواقع غابات كثيفة,عسير,بالقرن, ,41.90140771,19.59537534
F_126,مواقع غابات كثيفة,عسير,بالقرن, ,41.89756092,19.58526702
F_127,مواقع غابات كثيفة,عسير, , ,41.90084521,19.55091936
F_128,غابات وادى ادمة,عسير,بالقرن, ,41.89722337,19.68308029
F_129,مواقع غابات كثيفة,عسير, , ,41.92805818,19.64557665
F_130,مواقع غابات كثيفة,عسير, , ,41.92536111,19.640332
F_131,مواقع غابات كثيفة, , , ,41.44932226,20.01537175
F_132,مواقع غابات كثيفة, , , ,41.45228062,20.02604786
F_133,مواقع غابات كثيفة,عسير, , ,41.89687966,19.55503052
F_134,مواقع غابات كثيفة,عسير, , ,41.89399429,19.55340076
F_135,مواقع غابات كثيفة,عسير, , ,41.89359489,19.55892422
F_136,مواقع غابات كثيفة,عسير, , ,41.88986245,19.55722415
F_137,مواقع غابات كثيفة,عسير, , ,41.89802942,19.56045718
F_138,مواقع غابات كثيفة,عسير, , ,41.92423357,19.63525685
F_139,مواقع غابات كثيفة,عسير, , ,41.91990238,19.63598402
F_140,مواقع غابات كثيفة,عسير, , ,41.92147506,19.63374641
F_141,مواقع غابات كثيفة,عسير, , ,41.91193386,19.67084858
F_142,غابات وادى ادمة,عسير,بالقرن, ,41.8892434,19.70698209
F_143,غابات وادى رنية,الباحة,بلجرشى, ,41.87804179,20.13488302
F_144,مواقع غابات كثيفة, , , ,41.86163143,20.15222409
F_145,غابات وادى جرشة,الباحة,بلجرشى, ,41.74374606,20.06569267
F_146,غابات وادى جرشة,الباحة,بلجرشى, ,41.75122251,20.07616773
F_147,مواقع غابات كثيفة, , , ,41.45969105,20.02582023
F_148,مواقع غابات كثيفة, , , ,41.4363053,20.72238749
F_149,مواقع غابات كثيفة, , , ,41.43402853,20.72060558
F_150,مواقع غابات كثيفة, , , ,41.43523143,20.72725955
F_151,مواقع غابات كثيفة, , , ,41.43758695,20.72888031
F_152,غابات شعيب ساسد,مكة المكرمة,تربة, ,41.5124071,20.80626376
F_153,غابات شعيب ساسد,مكة المكرمة,تربة, ,41.5090416,20.78674451
F_154,مواقع غابات كثيفة, , , ,40.83140464,20.38747028
F_155,مواقع غابات كثيفة, , , ,40.82929326,20.38607796
F_156,مواقع غابات كثيفة, , , ,40.82819395,20.38246419
F_157,مواقع غابات كثيفة, , , ,40.82738349,20.3851067
F_158,مواقع غابات كثيفة, , , ,40.83463319,20.37384825
F_159,مواقع غابات كثيفة, , , ,40.8397336,20.37277191
F_160,مواقع غابات كثيفة, , , ,40.83851555,20.36603401
F_161,مواقع غابات كثيفة, , , ,40.84767752,20.37499939
F_162,مواقع غابات كثيفة, , , ,40.84970065,20.38541567
F_163,مواقع غابات كثيفة, , , ,41.69929401,20.70253888
F_164,مواقع غابات كثيفة, , , ,41.69894405,20.69970552
F_165,غابات وادى الاصلاب,جازان,القياس, ,42.25367874,17.83559277
F_166,غابات وادى بيشة,عسير,بيشة, ,42.94105039,20.5066892
F_167,غابات وادى بيشة,عسير,بيشة, ,42.94545728,20.52854525
F_168,غابات وادى بيشة,عسير,بيشة, ,42.97780914,20.57061448
F_169,غابات وادى بيشة,عسير,بيشة, ,42.97423003,20.57359871
F_170,غابات وادى بيشة,مكة المكرمة,رنية, ,42.97800252,20.59638787
F_171,غابات وادى بيشة,مكة المكرمة,رنية, ,42.98861504,20.61237581
F_172,غابات وادى بيشة,مكة المكرمة,رنية, ,43.00444402,20.6535013
F_173,مواقع غابات كثيفة,عسير, , ,42.03902748,19.40034122
F_174,مواقع غابات كثيفة,عسير, , ,42.04424393,19.39577501
F_175,مواقع غابات كثيفة,عسير, , ,42.05317009,19.39429919
F_176,مواقع غابات كثيفة,عسير, , ,42.04494327,19.37970748
F_177,مواقع غابات كثيفة,عسير, , ,42.04650547,19.377877
F_178,مواقع غابات كثيفة, , , ,41.41900643,20.02763648
F_179,مواقع غابات كثيفة,عسير, , ,42.05355021,19.37744626
F_180,مواقع غابات كثيفة,عسير, , ,42.05767831,19.37462706
F_181,مواقع غابات كثيفة, , , ,41.42660643,20.0315932
F_182,مواقع غابات كثيفة, , , ,41.42719592,20.04153821
F_183,مواقع غابات كثيفة, , , ,41.42710238,20.04960113
F_184,مواقع غابات كثيفة, , , ,41.55366943,20.23742722
F_185,مواقع غابات كثيفة, , , ,41.55501974,20.23567944
F_186,مواقع غابات كثيفة, , , ,41.54632509,20.23120016
F_187,مواقع غابات كثيفة, , , ,41.50068387,20.17639217
F_188,مواقع غابات كثيفة, , , ,41.49872436,20.16644039
F_189,مواقع غابات كثيفة, , , ,41.49938171,20.15391155
F_190,مواقع غابات كثيفة, , , ,41.49881342,20.15096342
F_191,مواقع غابات كثيفة, , , ,41.4978,20.14948847
F_192,مواقع غابات كثيفة, , , ,41.49892966,20.14735869
F_193,مواقع غابات كثيفة, , , ,41.49971774,20.14691113
F_194,مواقع غابات كثيفة, , , ,41.50100000000001,20.14539048
F_195,مواقع غابات كثيفة, , , ,41.50166821,20.14349248
F_196,مواقع غابات كثيفة, , , ,41.50239522,20.14204152
F_197,مواقع غابات كثيفة, , , ,41.50265462,20.14149109
F_198,مواقع غابات كثيفة, , , ,41.50195908,20.14105938
F_199,مواقع غابات كثيفة, , , ,41.4988388,20.13944584
F_200,مواقع غابات كثيفة, , , ,41.49882807,20.13808616
F_201,مواقع غابات كثيفة, , , ,41.498628,20.13658925
F_202,مواقع غابات كثيفة, , , ,41.49911998,20.13612626
F_203,مواقع غابات كثيفة, , , ,41.5099689,20.08999722
F_204,مواقع غابات كثيفة, , , ,41.51074837,20.08791251
F_205,مواقع غابات كثيفة, , , ,41.50792720000001,20.0791165
F_206,مواقع غابات كثيفة, , , ,41.50683955,20.07767359
F_207,مواقع غابات كثيفة, , , ,41.50599448,20.07797765
F_208,مواقع غابات كثيفة, , , ,41.50532815,20.07740724
F_209,مواقع غابات كثيفة, , , ,41.50389481,20.07750167
F_210,مواقع غابات كثيفة, , , ,41.5024532,20.07760207
F_211,مواقع غابات كثيفة, , , ,41.50185005,20.077816100000003
F_212,مواقع غابات كثيفة, , , ,41.50133754,20.07782231
F_213,غابات المشراف2,مكة المكرمة,الطائف,العرعر,40.28394214,21.29234116
F_214,غابات المشراف1,مكة المكرمة,الطائف,العرعر,40.28170819,21.29472733
F_215,مواقع غابات كثيفة, , ,العرعر,40.28691849,21.29639352
F_216,مواقع غابات كثيفة, , ,العرعر,40.27602026,21.29195531
F_217,مواقع غابات كثيفة, , ,العرعر,40.28313189,21.27454825
